Year,Codi_Barri,Preu,PreuM2,Codi_Districte,Nom_Districte,Nom_Barri,id
2014,1,578.4075,10.4825,1,Ciutat Vella,el Raval,0
2014,2,748.5,10.54,1,Ciutat Vella,el Barri Gòtic,1
2014,3,563.8125,15.1525,1,Ciutat Vella,la Barceloneta,2
2014,4,684.2125000000001,11.23,1,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",3
2014,5,724.52,9.9825,2,Eixample,el Fort Pienc,4
2014,6,680.3875,10.465,2,Eixample,la Sagrada Famí­lia,5
2014,7,945.2175,10.075,2,Eixample,la Dreta de l'Eixample,6
2014,8,841.99,10.504999999999999,2,Eixample,l'Antiga Esquerra de l'Eixample,7
2014,9,731.13,10.43,2,Eixample,la Nova Esquerra de l'Eixample,8
2014,10,711.3675,10.02,2,Eixample,Sant Antoni,9
2014,11,582.5225,10.19,3,Sants-Montjuïc,el Poble Sec,10
2014,13,531.3125,8.032499999999999,3,Les Corts,la Marina de Port,12
2014,14,641.7125,10.61,3,Sarrià-Sant Gervasi,la Font de la Guatlla,13
2014,15,593.765,10.26,3,Sarrià-Sant Gervasi,Hostafrancs,14
2014,16,611.495,9.32,3,Sarrià-Sant Gervasi,la Bordeta,15
2014,17,596.4525,9.9475,3,Sarrià-Sant Gervasi,Sants - Badal,16
2014,18,624.0,10.0975,3,Sarrià-Sant Gervasi,Sants,17
2014,19,782.76,11.0775,4,Sarrià-Sant Gervasi,les Corts,18
2014,20,755.9225,10.36,4,Gràcia,la Maternitat i Sant Ramon,19
2014,21,1489.345,12.44,4,Gràcia,Pedralbes,20
2014,22,1157.9125,9.7025,5,Gràcia,"Vallvidrera, el Tibidabo i les Planes",21
2014,23,1039.505,13.5175,5,Gràcia,Sarrià,22
2014,24,1320.32,13.557500000000001,5,Gràcia,les Tres Torres,23
2014,25,940.02,11.557500000000001,5,Horta-Guinardó,Sant Gervasi - la Bonanova,24
2014,26,1046.65,11.7,5,Horta-Guinardó,Sant Gervasi - Galvany,25
2014,27,760.0550000000001,11.02,5,Horta-Guinardó,el Putxet i el Farró,26
2014,28,665.645,10.245000000000001,6,Horta-Guinardó,Vallcarca i els Penitents,27
2014,29,556.3075,9.51,6,Horta-Guinardó,el Coll,28
2014,30,669.24,9.93,6,Horta-Guinardó,la Salut,29
2014,31,681.6324999999999,11.25,6,Horta-Guinardó,la Vila de Gràcia,30
2014,32,682.21,10.3825,6,Horta-Guinardó,el Camp d'en Grassot i Gràcia Nova,31
2014,33,621.305,9.555,7,Horta-Guinardó,el Baix Guinardó,32
2014,34,543.7825,9.43,7,Horta-Guinardó,Can Baró,33
2014,35,581.575,9.184999999999999,7,Nou Barris,el Guinardó,34
2014,36,711.3625,9.2425,7,Nou Barris,la Font d'en Fargues,35
2014,37,494.69,8.635,7,Nou Barris,el Carmel,36
2014,38,486.5675,8.3525,7,Nou Barris,la Teixonera,37
